positions_id,positions_decoding,positions_name,positions_aliases,positions_category,positions_subcategory,positions_type,positions_variation,positions_direction,positions_configuration,positions_inclination
155,Leaning (-) ⟮Horizontal⟯ [Contrapposto] ⟨-⟩ ⧼Leaning⧽,Contrapposto Horizontal Leaning,,Leaning,,Leaning,-,Horizontal,Contrapposto,-
154,Thrust (-) ⟮Horizontal⟯ [Contrapposto] ⟨-⟩ ⧼Leaning⧽,Contrapposto Horizontal Thrust,,Leaning,,Thrust,-,Horizontal,Contrapposto,-
172,Standing (Contrapposto) ⟮-⟯ [-] ⟨-⟩ ⧼Standing⧽,Contrapposto Standing,,Standing,,Standing,Contrapposto,-,-,-
313,Corpse (-) ⟮Supine⟯ [-] ⟨-⟩ ⧼Lying⧽,Corpse,"Shavasana, शवासन",Lying,,Corpse,-,Supine,-,-
344,Cowherd (-) ⟮-⟯ [-] ⟨-⟩ ⧼Sitting⧽,Cowherd,"Gorakhnath's Pose, Gorakshasana, गोरक्षासन",Sitting,Meditation,Cowherd,-,-,-,-
101,Crane (-) ⟮-⟯ [-] ⟨-⟩ ⧼Balancing⧽,Crane,"Crow, Bakasana, Kakasana, बकासन, ककासन",Balancing,,Crane,-,-,-,-
135,Crawling (-) ⟮-⟯ [-] ⟨-⟩ ⧼Crawling⧽,Crawling,,Crawling,,Crawling,-,-,-,-
96,Moon (Crescent) ⟮-⟯ [-] ⟨-⟩ ⧼Bending⧽,Crescent Moon,"Dragon, Anjaneyasana, अञ्जनेयासन",Bending,,Moon,Crescent,-,-,-
356,Crocodile (-) ⟮Prone⟯ [-] ⟨-⟩ ⧼Lying⧽,Crocodile,"Makarasana, मकरासन",Lying,,Crocodile,-,Prone,-,-
35,Sitting (-) ⟮-⟯ [Crossed Ankles] ⟨-⟩ ⧼Sitting⧽,Crossed Ankles Sitting,,Sitting,,Sitting,-,-,Crossed Ankles,-
32,Fowler (High) ⟮-⟯ [Crossed Legs] ⟨-⟩ ⧼Sitting⧽,Crossed Legs High Fowler,,Sitting,,Fowler,High,-,Crossed Legs,-
57,Sitting (-) ⟮-⟯ [Crossed Legs] ⟨-⟩ ⧼Sitting⧽,Crossed Legs Sitting,,Sitting,,Sitting,-,-,Crossed Legs,-
194,Standing (-) ⟮-⟯ [Crossed Legs] ⟨-⟩ ⧼Standing⧽,Crossed Legs Standing,,Standing,,Standing,-,-,Crossed Legs,-
107,Crouching (-) ⟮-⟯ [-] ⟨-⟩ ⧼Squatting⧽,Crouching,,Squatting,,Crouching,-,-,-,-
363,Dancer (-) ⟮-⟯ [-] ⟨-⟩ ⧼Balancing⧽,Dancer,"Lord of the Dance, Nataraja's Pose, Natarajasana, नटराजासन",Balancing,,Dancer,-,-,-,-
81,Handstand (-) ⟮-⟯ [1 Arm] ⟨Declined⟩ ⧼Handstand⧽,Declined 1 Arm Handstand,,Balancing,,Handstand,-,-,1 Arm,Declined
230,Fowler (High) ⟮-⟯ [1 Leg] ⟨Declined⟩ ⧼Sitting⧽,Declined 1 Leg High Fowler,,Sitting,,Fowler,High,-,1 Leg,Declined
240,Suspended (-) ⟮Backward⟯ [-] ⟨Declined⟩ ⧼Suspended⧽,Declined Backward Suspended,,Suspended,,Suspended,-,Backward,-,Declined
224,Dog (-) ⟮Downward⟯ [-] ⟨Declined⟩ ⧼Bending⧽,Declined Downward Dog,,Bending,,Dog,Downward,-,-,Declined
241,Suspended (-) ⟮Forward⟯ [-] ⟨Declined⟩ ⧼Suspended⧽,Declined Forward Suspended,,Suspended,,Suspended,-,Forward,-,Declined
79,Handstand (-) ⟮-⟯ [-] ⟨Declined⟩ ⧼Handstand⧽,Declined Handstand,,Balancing,,Handstand,-,-,-,Declined
206,Fowler (High) ⟮-⟯ [-] ⟨Declined⟩ ⧼Sitting⧽,Declined High Fowler,,Sitting,,Fowler,High,-,-,Declined
208,Fowler (Low) ⟮-⟯ [-] ⟨Declined⟩ ⧼Sitting⧽,Declined Low Fowler,,Sitting,,Fowler,Low,-,-,Declined
186,Lying (-) ⟮Supine⟯ [Lowered Knees] ⟨Declined⟩ ⧼Lying⧽,Declined Lowered Knees Supine Lying,,Lying,,Lying,-,Supine,Lowered Knees,Declined
105,Plank (-) ⟮-⟯ [-] ⟨Declined⟩ ⧼Crawling⧽,Declined Plank,Declined Low Plank,Crawling,,Plank,-,-,-,Declined
204,Fowler (Semi) ⟮-⟯ [-] ⟨Declined⟩ ⧼Sitting⧽,Declined Semi Fowler,,Sitting,,Fowler,Semi,-,-,Declined
39,Lying (-) ⟮Supine⟯ [-] ⟨Declined⟩ ⧼Lying⧽,Declined Supine Lying,Trendelenburg,Lying,,Lying,-,Supine,-,Declined
236,Suspended (-) ⟮-⟯ [-] ⟨Declined⟩ ⧼Suspended⧽,Declined Suspended,,Suspended,,Suspended,-,-,-,Declined
