id,decoding,title,aliases,categories,subcategories,types,variations,directions,configurations,inclinations,source
279,Fowler (Low) ⟮-⟯ [Bent Knees] ⟨-⟩ ⧼Sitting⧽,Bent Knees Low Fowler,,Sitting,,Fowler,Low,-,Bent Knees,-,../Body Positions/Bent Knees Low Fowler
278,Fowler (Semi) ⟮-⟯ [Bent Knees] ⟨-⟩ ⧼Sitting⧽,Bent Knees Semi Fowler,,Sitting,,Fowler,Semi,-,Bent Knees,-,../Body Positions/Bent Knees Semi Fowler
329,Big Toe (Hold) ⟮-⟯ [-] ⟨-⟩ ⧼Balancing⧽,Big Toe Hold,"Utthita Hastapadangusthasana, उत्थित हस्तपादाङ्गुष्ठासन, Standing Big Toe Hold",Balancing,,Big Toe,Hold,-,-,-,../Body Positions/Big Toe Hold
317,Big Toe (-) ⟮-⟯ [Supine] ⟨-⟩ ⧼Lying⧽,Big Toe Supine,"Supta Padangusthasana, सुप्त पादाङ्गुष्ठासन",Lying,,Big Toe,-,Supine,-,-,../Body Positions/Big Toe Supine
364,Boat (-) ⟮-⟯ [-] ⟨-⟩ ⧼Balancing⧽,Boat,"Navasana, Naukasana, नावासन, परिपूर्णनावासन नौकासन",Balancing,,Boat,-,-,-,-,../Body Positions/Boat
339,Bow (-) ⟮Prone⟯ [-] ⟨-⟩ ⧼Lying⧽,Bow,"Dhanurasana, धनुरासन",Lying,,Bow,-,Prone,-,-,../Body Positions/Bow
122,Bowing (-) ⟮-⟯ [-] ⟨-⟩ ⧼Bending⧽,Bowing,,Bending,Gesture,Bowing,-,-,-,-,../Body Positions/Bowing
13,Bridge (-) ⟮-⟯ [-] ⟨-⟩ ⧼Inversion⧽,Bridge,"Shoulder Supported Bridge, Setu Bandha Sarvangasana, सेतुबन्धसर्वाङ्गासन",Inversion,,Bridge,-,-,-,-,../Body Positions/Bridge
100,Butterfly (-) ⟮-⟯ [-] ⟨-⟩ ⧼Sitting⧽,Butterfly,"Cobbler's Pose, Bound Angle, Baddha Konasana, Bhadrasana, बद्धकोणासन",Sitting,Meditation,Butterfly,-,-,-,-,../Body Positions/Butterfly
327,Camel (-) ⟮-⟯ [-] ⟨-⟩ ⧼Kneeling⧽,Camel,"Ushtrasana, उष्ट्रासन",Kneeling,,Camel,-,-,-,-,../Body Positions/Camel
336,Cat (-) ⟮-⟯ [-] ⟨-⟩ ⧼Crawling⧽,Cat,"Bidalasana, Marjariasana, बिडालासन, मार्जरीआसन",Crawling,,Cat,-,-,-,-,../Body Positions/Cat
98,Caterpillar (-) ⟮Prone⟯ [-] ⟨-⟩ ⧼Lying⧽,Caterpillar,"Eight-Limbed Salutation, Ashtanga Namaskara, अष्टाङ्ग नमस्कार",Lying,,Caterpillar,-,Prone,-,-,../Body Positions/Caterpillar
330,Child (-) ⟮-⟯ [-] ⟨-⟩ ⧼Kneeling⧽,Child,"Child's, Balasana, बालासन",Kneeling,,Child,-,-,-,-,../Body Positions/Child
334,Cobra (-) ⟮Prone⟯ [-] ⟨-⟩ ⧼Lying⧽,Cobra,"Seal, Sphinx, Bhujangasana, भुजंगासन",Lying,,Cobra,-,Prone,-,-,../Body Positions/Cobra
353,Cockerel (-) ⟮-⟯ [-] ⟨-⟩ ⧼Balancing⧽,Cockerel,"Kukkutasana, कुक्कुटासन",Balancing,,Cockerel,-,-,-,-,../Body Positions/Cockerel
160,Bridge (-) ⟮-⟯ [Contrapposto] ⟨-⟩ ⧼Inversion⧽,Contrapposto Bridge,,Inversion,,Bridge,-,-,Contrapposto,-,../Body Positions/Contrapposto Bridge
155,Leaning (-) ⟮Horizontal⟯ [Contrapposto] ⟨-⟩ ⧼Leaning⧽,Contrapposto Horizontal Leaning,,Leaning,,Leaning,-,Horizontal,Contrapposto,-,../Body Positions/Contrapposto Horizontal Leaning
154,Thrust (-) ⟮Horizontal⟯ [Contrapposto] ⟨-⟩ ⧼Leaning⧽,Contrapposto Horizontal Thrust,,Leaning,,Thrust,-,Horizontal,Contrapposto,-,../Body Positions/Contrapposto Horizontal Thrust
172,Standing (Contrapposto) ⟮-⟯ [-] ⟨-⟩ ⧼Standing⧽,Contrapposto Standing,,Standing,,Standing,Contrapposto,-,-,-,../Body Positions/Contrapposto Standing
313,Corpse (-) ⟮Supine⟯ [-] ⟨-⟩ ⧼Lying⧽,Corpse,"Shavasana, शवासन",Lying,,Corpse,-,Supine,-,-,../Body Positions/Corpse
344,Cowherd (-) ⟮-⟯ [-] ⟨-⟩ ⧼Sitting⧽,Cowherd,"Gorakhnath's Pose, Gorakshasana, गोरक्षासन",Sitting,Meditation,Cowherd,-,-,-,-,../Body Positions/Cowherd
